2020-02-14 09:25:13.159 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.Demo1ApplicationTests], using SpringBootContextLoader
2020-02-14 09:25:13.170 default [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.Demo1ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-02-14 09:25:13.171 default [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.Demo1ApplicationTests]: Demo1ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-02-14 09:25:13.306 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.Demo1Application for test class com.example.demo.Demo1ApplicationTests
2020-02-14 09:25:13.445 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-02-14 09:25:13.468 default [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4b29d1d2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7f485fda, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@28261e8e, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@d737b89, org.springframework.test.context.support.DirtiesContextTestExecutionListener@8519cb4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@35dab4eb, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2d901eb0, org.springframework.test.context.event.EventPublishingTestExecutionListener@3ba987b8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3f191845, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5f049ea1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@72cc7e6f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5afa3c9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@72035809]
2020-02-14 09:25:13.824 default [main] INFO  com.example.demo.Demo1ApplicationTests - Starting Demo1ApplicationTests on DESKTOP-81CMARA with PID 1112 (started by 50136 in D:\eclipse-workspace\swc2020-server\sw2020_server)
2020-02-14 09:25:13.825 default [main] INFO  com.example.demo.Demo1ApplicationTests - No active profile set, falling back to default profiles: default
2020-02-14 09:25:15.885 default [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-02-14 09:25:16.326 default [main] INFO  com.example.demo.Demo1ApplicationTests - Started Demo1ApplicationTests in 2.798 seconds (JVM running for 4.272)
2020-02-14 09:25:16.606 default [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
